No.,Density,Speed,Temp,Flowrate,Latitude,Longitude,Windangle,Windspeed,Trueheading
0,0.9471087,0.6,62.20651,0,6132.9236,00649.1143,322,0.7,317.93
1,0.9471096,0.6,62.20406,0,6132.9236,00649.1143,330,0.7,318.32
2,0.9471135,0.7,62.19989,0,6132.9240,00649.1143,325,0.7,318.83
3,0.9471041,0.8,62.20412,0,6132.9243,00649.1144,328,0.7,319.33
4,0.938305,0.8,86.89216,0.2838161,6132.9243,00649.1144,350,0.8,319.77
5,0.9381735,0.9,87.08717,0.2792023,6132.9243,00649.1144,352,0.8,320.05
6,0.9380355,0.9,87.22346,0.2828206,6132.9250,00649.1147,353,0.9,320.32
7,0.9379829,1.1,87.32133,0.2809005,6132.9250,00649.1147,351,0.9,320.68
8,0.9377675,1.1,87.53302,0.2798502,6132.9250,00649.1147,350,0.9,320.95
9,0.9376035,1.2,87.72702,0.2719892,6132.9261,00649.1151,354,0.9,321.25
10,0.9374757,1.2,87.87439,0.272535,6132.9261,00649.1151,355,1,321.48
11,0.937124,1.3,88.15513,0.2815076,6132.9261,00649.1151,354,1,321.74
12,0.936797,1.3,88.40273,0.2944946,6132.9271,00649.1154,356,1.1,321.97
13,0.93663,1.5,88.55549,0.3087032,6132.9271,00649.1154,356,1.2,321.97
14,0.9363534,1.5,88.78259,0.3264852,6132.9271,00649.1154,351,1.3,321.97
15,0.9361294,1.6,88.95963,0.3357005,6132.9281,00649.1158,355,1.3,321.97
16,0.9359842,1.6,89.08883,0.3422071,6132.9281,00649.1158,353,1.3,321.97
17,0.935864,1.7,89.21343,0.3416704,6132.9281,00649.1158,355,1.3,321.97
18,0.9358464,1.7,89.28416,0.3564987,6132.9290,00649.1165,352,1.3,321.97
19,0.9358984,1.8,89.34544,0.3919187,6132.9290,00649.1165,354,1.3,321.97
20,0.9358052,1.8,89.49892,0.397933,6132.9290,00649.1165,356,1.4,321.97
21,0.9356276,1.8,89.64384,0.3771839,6132.9301,00649.1172,359,1.4,321.97
22,0.9354037,1.8,89.75608,0.3264442,6132.9301,00649.1172,355,1.5,321.97
23,0.9349941,1.9,89.8894,0.3085057,6132.9301,00649.1172,358,1.5,321.97
24,0.9347007,1.9,90.01757,0.2958454,6132.9305,00649.1176,356,1.5,321.97
25,0.9344787,1.9,90.11586,0.2799534,6132.9312,00649.1181,354,1.6,321.97
26,0.9342555,1.9,90.21335,0.272066,6132.9312,00649.1181,354,1.7,321.97
27,0.9340455,2,90.30598,0.2701358,6132.9318,00649.1185,351,1.8,321.97
28,0.933844,2,90.3952,0.2672524,6132.9323,00649.1190,355,1.9,321.97
29,0.9336286,2.1,90.47163,0.2702476,6132.9323,00649.1190,353,2.2,321.97
30,0.9334425,2.1,90.54424,0.2753122,6132.9328,00649.1195,355,2.3,321.97
31,0.9332853,2.1,90.59818,0.2773344,6132.9328,00649.1195,354,2.6,321.97
32,0.9331833,2.1,90.6108,0.2783127,6132.9328,00649.1195,352,2.7,321.97
33,0.933139,2.2,90.61042,0.278336,6132.9341,00649.1208,352,2.8,321.97
34,0.9331281,2.2,90.60614,0.280266,6132.9341,00649.1208,350,3,321.97
35,0.9330773,2.2,90.65186,0.2813154,6132.9341,00649.1208,351,3.2,321.97
36,0.9330287,2.2,90.70882,0.2812431,6132.9358,00649.1223,346,3.3,321.97
37,0.9329988,2.2,90.74921,0.2814909,6132.9358,00649.1223,349,3.4,321.97
38,0.9328462,2.2,90.84898,0.2813051,6132.9358,00649.1223,325,3.6,321.97
39,0.9326636,2.2,90.97733,0.2794166,6132.9372,00649.1231,324,3.7,321.97
40,0.9325275,2.2,91.02985,0.2796506,6132.9372,00649.1231,321,3.8,321.97
41,0.9324023,2.3,91.08394,0.2869177,6132.9372,00649.1231,323,3.9,321.97
42,0.9323315,2.3,91.14061,0.2935121,6132.9377,00649.1235,323,4,322.11
43,0.9323071,2.3,91.15993,0.3098305,6132.9379,00649.1234,322,4,322.93
44,0.9322902,2.3,91.2233,0.3407905,6132.9379,00649.1234,319,4.1,323.8
45,0.9323133,2.3,91.30544,0.3812768,6132.9384,00649.1238,319,4.3,324.54
46,0.9324376,2.3,91.34885,0.4126568,6132.9388,00649.1241,320,4.4,325.56
47,0.9324976,2.3,91.46167,0.4544977,6132.9388,00649.1241,319,4.3,326.74
48,0.9325274,2.3,91.60582,0.4985413,6132.9388,00649.1241,318,4.2,328.03
49,0.932636,2.4,91.65567,0.5314753,6132.9391,00649.1242,317,4,329.37
50,0.9325666,2.4,91.7758,0.5588651,6132.9395,00649.1244,315,3.8,330.54
51,0.9324182,2.4,91.9362,0.5569417,6132.9395,00649.1244,317,3.7,332.12
52,0.9323798,2.4,92.01872,0.5560788,6132.9402,00649.1248,317,3.9,333.82
53,0.9323169,2.5,92.09938,0.5488201,6132.9411,00649.1255,315,3.9,335.53
54,0.9322724,2.5,92.17436,0.5430716,6132.9411,00649.1255,317,3.8,337.23
55,0.932303,2.6,92.20402,0.5427291,6132.9419,00649.1259,316,3.8,338.54
56,0.93234,2.6,92.20027,0.5523735,6132.9424,00649.1260,315,3.6,340.21
57,0.9323587,2.8,92.16856,0.5554777,6132.9424,00649.1260,317,3.5,341.87
58,0.9323545,2.8,92.13262,0.5519521,6132.9431,00649.1263,316,3.4,343.54
59,0.9322805,2.9,92.15966,0.5469924,6132.9438,00649.1264,315,3.3,345.1
60,0.9322575,2.9,92.19232,0.5468733,6132.9438,00649.1264,316,3.3,346.34
61,0.9322389,3,92.20172,0.5462385,6132.9445,00649.1268,315,3.2,347.76
62,0.9320334,3,92.29992,0.5477092,6132.9452,00649.1270,316,3.1,349.15
63,0.9318685,3.1,92.37859,0.5469622,6132.9452,00649.1270,314,3,350.67
64,0.9316913,3.1,92.45556,0.5442787,6132.9458,00649.1271,313,3,352.26
65,0.9314945,3.3,92.55464,0.5407201,6132.9466,00649.1274,316,2.9,353.45
66,0.9313691,3.3,92.6227,0.5389798,6132.9466,00649.1274,316,2.7,354.81
67,0.9312947,3.4,92.68813,0.5363026,6132.9473,00649.1277,314,2.7,356.02
68,0.9312552,3.4,92.75359,0.5356128,6132.9481,00649.1279,316,2.6,357.18
69,0.9312748,3.7,92.77863,0.5404404,6132.9481,00649.1279,314,2.5,358.13
70,0.9313163,3.7,92.7824,0.5453169,6132.9489,00649.1281,314,2.4,358.81
71,0.9312953,3.9,92.81058,0.5487736,6132.9499,00649.1286,316,2.3,359.65
72,0.9312298,3.9,92.84162,0.510164,6132.9499,00649.1286,317,2.3,0.33
73,0.9310773,4.2,92.87318,0.4549861,6132.9479,00649.1272,318,2.2,0.89
74,0.9308885,4.2,92.94685,0.4387872,6132.9479,00649.1272,318,2.1,1.35
75,0.9308316,4.4,92.99851,0.4410551,6132.9479,00649.1272,316,2,1.69
76,0.9308801,4.4,93.04927,0.4539348,6132.9469,00649.1259,316,2,2.03
77,0.930841,4.7,93.1353,0.4435035,6132.9469,00649.1259,322,2.1,2.31
78,0.9307725,4.7,93.18816,0.440641,6132.9469,00649.1259,318,2.2,2.48
79,0.9307006,4.9,93.22654,0.4457337,6132.9478,00649.1257,322,2.3,2.6
80,0.9306294,5,93.27073,0.448373,6132.9478,00649.1257,322,2.4,2.65
81,0.9305935,5.1,93.2907,0.4462024,6132.9478,00649.1257,328,2.5,2.77
82,0.9305449,5.2,93.30524,0.4555387,6132.9502,00649.1270,345,2.6,2.88
83,0.9305976,5.3,93.25619,0.4534599,6132.9502,00649.1270,325,2.7,2.94
84,0.9306213,5.3,93.20954,0.4318149,6132.9502,00649.1270,329,2.9,3.11
85,0.930662,5.6,93.14761,0.4195349,6132.9532,00649.1285,326,3,3.28
86,0.9308317,5.6,92.99627,0.3951237,6132.9532,00649.1285,349,3.1,3.62
87,0.9309282,5.8,92.89162,0.3987942,6132.9532,00649.1285,355,3.1,4.14
88,0.9310406,5.8,92.79198,0.4181933,6132.9546,00649.1289,353,3.2,4.82
89,0.931208,5.9,92.67197,0.4324555,6132.9546,00649.1289,355,3.5,5.74
90,0.9313098,5.9,92.59306,0.4399951,6132.9546,00649.1289,352,3.7,6.71
91,0.9313344,6.1,92.5479,0.4364035,6132.9572,00649.1302,354,3.8,8.15
92,0.9314168,6.1,92.4445,0.4127197,6132.9572,00649.1302,359,3.9,9.92
93,0.9314658,6.3,92.3455,0.4031073,6132.9572,00649.1302,2,4.2,12.09
94,0.9315475,6.3,92.29309,0.4050919,6132.9597,00649.1314,0,4.5,14.69
95,0.9317105,6.4,92.18153,0.3999529,6132.9597,00649.1314,356,4.7,17.2
96,0.9318141,6.4,92.08498,0.4008894,6132.9597,00649.1314,1,4.9,20.66
97,0.9318619,6.5,92.0443,0.4078895,6132.9626,00649.1331,2,5,24.48
98,0.9319149,6.5,91.9804,0.4072513,6132.9626,00649.1331,0,5.1,28.6
99,0.9319888,6.6,91.91116,0.406546,6132.9626,00649.1331,0,5.1,32.69
100,0.9320326,6.6,91.87365,0.4008791,6132.9641,00649.1338,359,5.4,35.9
101,0.9321761,6.7,91.78756,0.3945652,6132.9641,00649.1338,0,5.6,39.82
102,0.9323511,6.7,91.70002,0.3955353,6132.9641,00649.1338,1,5.7,43.58
103,0.9324741,6.8,91.64777,0.3922166,6132.9672,00649.1354,2,5.6,47
104,0.932549,6.8,91.61295,0.3886302,6132.9672,00649.1354,1,5.6,50.11
105,0.932596,6.8,91.58873,0.3934547,6132.9672,00649.1354,2,5.9,51.89
106,0.9326262,6.8,91.57752,0.3898049,6132.9673,00649.1347,1,6.2,52
107,0.9325824,6.9,91.60997,0.3864428,6132.9673,00649.1347,0,6.3,52
108,0.9325479,6.9,91.63817,0.3947352,6132.9673,00649.1347,0,6.4,52.55
109,0.9325503,6.9,91.65279,0.3955009,6132.9704,00649.1364,1,6.4,55.43
110,0.932543,6.9,91.68779,0.3853327,6132.9704,00649.1364,2,6.5,58.03
111,0.9325025,6.9,91.72776,0.3870841,6132.9704,00649.1364,2,6.7,61.55
112,0.9324978,6.9,91.75645,0.3863345,6132.9734,00649.1382,1,6.8,65.37
113,0.9324594,7,91.81563,0.386148,6132.9734,00649.1382,1,6.6,69.26
114,0.9324042,7,91.8606,0.3865833,6132.9734,00649.1382,2,6.7,73.01
115,0.9323731,7,91.90104,0.3952363,6132.9771,00649.1404,359,7.1,75.94
116,0.932308,7,91.98714,0.3976131,6132.9771,00649.1404,0,7.1,79.52
117,0.9322518,7,92.0428,0.3962873,6132.9789,00649.1414,0,7.2,82.69
118,0.9322322,7,92.08932,0.3944159,6132.9789,00649.1414,1,7.3,85.36
119,0.9321296,7,92.19035,0.3895625,6132.9789,00649.1414,359,7.2,87.63
120,0.9321643,7,92.20891,0.3888336,6132.9823,00649.1432,3,7.3,89.14
121,0.9322323,7,92.20919,0.38595,6132.9823,00649.1432,2,7.5,90.72
